[ 2026-06-17 07:09:47,664 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-17 07:09:51,259 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-17 07:09:51,260 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-17 07:09:51,270 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-17 07:09:51,340 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-17 07:09:51,341 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-17 07:09:51,350 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-17 07:09:51,415 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 07:09:51,415 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 07:09:51,423 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 07:09:51,423 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 07:09:51,624 ] 28 root - INFO - data Validation Completed
[ 2026-06-17 07:09:51,624 ] 31 root - INFO - data Transformation started
[ 2026-06-17 07:09:51,624 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-17 07:09:51,624 ] 65 root - INFO - Starting data transformation
[ 2026-06-17 07:09:51,655 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-17 07:09:51,655 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-17 07:09:51,669 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 07:09:51,671 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 07:09:51,672 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 07:09:51,675 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 07:09:51,675 ] 35 root - INFO - data Transformation completed
