[ 2026-06-17 06:45:24,482 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-17 06:45:29,734 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-17 06:45:29,734 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-17 06:45:29,736 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-17 06:45:29,816 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-17 06:45:29,817 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-17 06:45:29,826 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-17 06:45:29,893 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 06:45:29,893 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 06:45:29,900 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 06:45:29,900 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 06:45:30,087 ] 28 root - INFO - data Validation Completed
[ 2026-06-17 06:45:30,087 ] 31 root - INFO - data Transformation started
[ 2026-06-17 06:45:30,087 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-17 06:45:30,087 ] 65 root - INFO - Starting data transformation
[ 2026-06-17 06:45:30,111 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-17 06:45:30,111 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-17 06:45:30,136 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 06:45:30,139 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 06:45:30,139 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 06:45:30,142 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 06:45:30,143 ] 35 root - INFO - data Transformation completed
