[ 2026-06-17 07:14:14,532 ] 21 root - INFO - Initiate the data ingestion
[ 2026-06-17 07:14:19,922 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-17 07:14:19,923 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-17 07:14:19,923 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-17 07:14:20,002 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-17 07:14:20,003 ] 23 root - INFO - Data Initiation Completed
[ 2026-06-17 07:14:20,014 ] 27 root - INFO - Initiate the data Validation
[ 2026-06-17 07:14:20,077 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 07:14:20,077 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 07:14:20,080 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 07:14:20,080 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 07:14:20,315 ] 29 root - INFO - data Validation Completed
[ 2026-06-17 07:14:20,316 ] 32 root - INFO - data Transformation started
[ 2026-06-17 07:14:20,316 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-17 07:14:20,316 ] 65 root - INFO - Starting data transformation
[ 2026-06-17 07:14:20,354 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-17 07:14:20,354 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-17 07:14:20,379 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 07:14:20,383 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 07:14:20,383 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 07:14:20,386 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 07:14:20,387 ] 36 root - INFO - data Transformation completed
[ 2026-06-17 07:14:20,387 ] 38 root - INFO - Model Training sstared
