[ 2026-06-15 15:44:53,309 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-15 15:44:56,375 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-15 15:44:56,375 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-15 15:44:56,376 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-15 15:44:56,418 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-15 15:44:56,418 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-15 15:44:56,425 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-15 15:44:56,477 ] 32 root - INFO - Required number of columns:2
[ 2026-06-15 15:44:56,477 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-15 15:44:56,478 ] 32 root - INFO - Required number of columns:2
[ 2026-06-15 15:44:56,478 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-15 15:44:56,578 ] 28 root - INFO - data Validation Completed
